,year,co2change
0,1958,
1,1959,0.002
2,1960,0.003
3,1961,0.002
4,1962,0.003
5,1963,0.002
6,1964,0.002
7,1965,0.001
8,1966,0.004
9,1967,0.003
10,1968,0.003
11,1969,0.005
12,1970,0.003
13,1971,0.002
14,1972,0.003
15,1973,0.007
16,1974,0.002
17,1975,0.003
18,1976,0.003
19,1977,0.005
20,1978,0.005
21,1979,0.004
22,1980,0.006
23,1981,0.004
24,1982,0.004
25,1983,0.005
26,1984,0.005
27,1985,0.004
28,1986,0.004
29,1987,0.005
30,1988,0.007
31,1989,0.004
32,1990,0.004
33,1991,0.003
34,1992,0.002
35,1993,0.002
36,1994,0.005
37,1995,0.006
38,1996,0.005
39,1997,0.003
40,1998,0.008
41,1999,0.005
42,2000,0.003
43,2001,0.004
44,2002,0.006
45,2003,0.007
46,2004,0.005
47,2005,0.006
48,2006,0.006
49,2007,0.005
50,2008,0.005
51,2009,0.005
52,2010,0.006
53,2011,0.004
54,2012,0.006
55,2013,0.007
56,2014,0.005
57,2015,0.005
58,2016,0.008
59,2017,0.006
60,2018,0.005
61,2019,0.007
62,2020,0.007
